position_bucket,n,mae_eur,median_abs_err,mean_signed_err
Other,28632,2655350.9562864057,451304.56890944974,-1697067.3493638344
MID,28476,2619002.1543560913,429036.5074686371,-1891357.8876204719
DEF,31914,2206905.60595112,388185.1920077922,-1663258.5948549618
GK,10545,1176044.3789212203,193227.15399855794,-854619.71808701
