experiment,n_features_input,rmse_log,mae_log,mae_eur
full,36,1.1288936376891838,0.8912056190447807,2341870.5472202576
no_nationality,34,1.168692368087125,0.9264642898771096,2363444.532142606
no_context,33,1.257497502712853,1.0053946974576458,2594827.958808785
performance_only,28,1.28047433645937,1.0271837747098052,2613396.655917123
