decile,pred_mean,actual_mean,n
0,312663.820426869,240434.8699407452,9957
1,517345.0404602541,389643.46690770314,9957
2,695655.887587348,574647.9509843311,9956
3,886597.0005705131,705668.8761675203,9957
4,1142410.6237364397,887989.8563824445,9957
5,1482196.173910417,1122596.9264764965,9956
6,2011505.8004610308,1819322.084965351,9957
7,3067684.060317098,2840101.446364002,9956
8,5726019.607738429,6078153.56030933,9957
9,20405301.363349024,18457519.835291754,9957
