decile,pred_mean,actual_mean,n
0,338361.20532682544,234137.29034849856,9957
1,534352.1440387568,380062.76991061564,9957
2,709434.659507265,550026.1149055846,9956
3,896498.1088779026,717940.6447725218,9957
4,1146363.7720924502,897080.445917445,9957
5,1456578.3266037852,1154656.990759341,9956
6,1990894.4857621721,1820182.7859797128,9957
7,3056106.189799697,2908137.806347931,9956
8,5605384.631156523,5986371.397007131,9957
9,19808046.626589604,18467490.207893945,9957
