decile,pred_mean,actual_mean,n
0,157943.2071600157,234137.29034849856,9957
1,249429.57423500135,380062.76991061564,9957
2,331156.1243695799,550026.1149055846,9956
3,418475.23977311916,717940.6447725218,9957
4,535109.7226452051,897080.445917445,9957
5,679914.3895984098,1154656.990759341,9956
6,929327.166495757,1820182.7859797128,9957
7,1426556.015995702,2908137.806347931,9956
8,2616530.5362214153,5986371.397007131,9957
9,9246173.504899321,18467490.207893945,9957
